"codigounic,""COMUNA_SII"",""MANZ"",""PREDIO"",""AVALUO"",""SUP_TERR"",""ANO_CONSTR"",""SUP_CONSTR"",""UF_TRANS"",""COMUNA"",""Casas_UFPr"",""Depto_UFPr"",""IMORANCASA"",""IMORANDPTO"",""Ten_Metro"",""Ten_MetroC"""
"13101-1011-72,13101,1011,72,22713398,0,1972,64,1312,""SANTIAGO"",13.6429303769,18.521518276,0.0357050178509,0.0966393404904,1,1"
"13101-1011-83,13101,1011,83,25552296,0,1972,72,1590,""SANTIAGO"",13.6429303769,18.521518276,0.0357050178509,0.0966393404904,1,1"
"13101-1011-84,13101,1011,84,22713398,0,1972,64,952,""SANTIAGO"",13.6429303769,18.521518276,0.0357050178509,0.0966393404904,1,1"
"13101-1011-91,13101,1011,91,23778077,0,1972,67,1383,""SANTIAGO"",13.6429303769,18.521518276,0.0357050178509,0.0966393404904,1,1"
"13101-1011-93,13101,1011,93,26616975,0,1972,75,1797,""SANTIAGO"",13.6429303769,18.521518276,0.0357050178509,0.0966393404904,1,1"
"13101-1011-94,13101,1011,94,23778077,0,1972,67,1507,""SANTIAGO"",13.6429303769,18.521518276,0.0357050178509,0.0966393404904,1,1"
"13101-1012-101,13101,1012,101,23945121,0,1972,69,1667,""SANTIAGO"",14.1250123689,22.2560956188,0.00557769468583,0.261497313812,1,1"
"13101-1012-104,13101,1012,104,23945121,0,1972,69,1350,""SANTIAGO"",14.1250123689,22.2560956188,0.00557769468583,0.261497313812,1,1"
"13101-1012-107,13101,1012,107,23945121,0,1972,69,1498,""SANTIAGO"",14.1250123689,22.2560956188,0.00557769468583,0.261497313812,1,1"
"13101-1012-109,13101,1012,109,23945121,0,1972,69,1720,""SANTIAGO"",14.1250123689,22.2560956188,0.00557769468583,0.261497313812,1,1"
"13101-1012-110,13101,1012,110,23945121,0,1972,69,755,""SANTIAGO"",14.1250123689,22.2560956188,0.00557769468583,0.261497313812,1,1"
"13101-1012-129,13101,1012,129,23597840,0,1972,68,1121,""SANTIAGO"",14.1250123689,22.2560956188,0.00557769468583,0.261497313812,1,1"
"13101-1012-25,13101,1012,25,23945121,0,1972,69,1485,""SANTIAGO"",14.1250123689,22.2560956188,0.00557769468583,0.261497313812,1,1"
"13101-1012-40,13101,1012,40,23945121,0,1972,69,1540,""SANTIAGO"",14.1250123689,22.2560956188,0.00557769468583,0.261497313812,1,1"
"13101-1012-53,13101,1012,53,23945121,0,1972,69,1973,""SANTIAGO"",14.1250123689,22.2560956188,0.00557769468583,0.261497313812,1,1"
"13101-1012-55,13101,1012,55,23945121,0,1972,69,2156,""SANTIAGO"",14.1250123689,22.2560956188,0.00557769468583,0.261497313812,1,1"
"13101-1012-61,13101,1012,61,23945121,0,1972,69,1106,""SANTIAGO"",14.1250123689,22.2560956188,0.00557769468583,0.261497313812,1,1"
"13101-1012-62,13101,1012,62,23945121,0,1972,69,1796,""SANTIAGO"",14.1250123689,22.2560956188,0.00557769468583,0.261497313812,1,1"
